data,link
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fdisease-clusters%3Fedocomorp%3Dpublic-health-free-courses>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fdisease-clusters%3Fedocomorp%3Dpublic-health-free-courses
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fglobal-health%3Fedocomorp%3Dpublic-health-free-courses>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fglobal-health%3Fedocomorp%3Dpublic-health-free-courses
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fdog-emotion-and-cognition%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fdog-emotion-and-cognition%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fscience-exercise%3Fedocomorp%3Dwellness-free-courses>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fscience-exercise%3Fedocomorp%3Dwellness-free-courses
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fanimal-welfare%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fanimal-welfare%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fcats-and-dogs%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fcats-and-dogs%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fdino101%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fdino101%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fbugs-101%3Fedocomorp%3Dfree-courses-high-school>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fbugs-101%3Fedocomorp%3Dfree-courses-high-school
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fcovid-19-what-you-need-to-know%3Fedocomorp%3Dpublic-health-free-courses>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fcovid-19-what-you-need-to-know%3Fedocomorp%3Dpublic-health-free-courses
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fcovid-19%3Fedocomorp%3Dpublic-health-free-courses>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fcovid-19%3Fedocomorp%3Dpublic-health-free-courses
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fpsychological-first-aid%3Fedocomorp%3Dwellness-free-courses>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fpsychological-first-aid%3Fedocomorp%3Dwellness-free-courses
<GET https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fsocial-psychology%3Fedocomorp%3Dfree-courses-college-students>,https://click.linksynergy.com/deeplink?id=EHFxW6yx8Uo&mid=40328&murl=https%3A%2F%2Fwww.coursera.org%2Flearn%2Fsocial-psychology%3Fedocomorp%3Dfree-courses-college-students
