name,enrolled,instructor,instructorImage,rating,ratingNo,reviewer,reviews,description,time,provider,catagory,subCatagory
COVID-19: What You Need to Know (CME Eligible),"102,171","Rishi Desai, MD, MPH",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/f9/b548d697c5405aa3d8b5112141428d/Rishi_Photo.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,1578,"by EP,by JK","The course was informative with the resources and information that was available at the time the course was completed. Since our knowledge of the virus is very fluid, a few things are not up to date.,It was an informative course. Most information was already being practiced by myself and others but reviewing in academic and clinical form was helpful to take it as true instead of street knowledge.",Register for this free CME course here: https://www.coursera.org/learn/covid-19-what-you-need-to-know?edocomorp=public-health-free-courses,Beginner Level,Osmosis,Health,Public Health
Making Architecture,"91,021",Nenad Katic,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/33/8186703dcf11e68002cf6bb8bded71/nenad-katic.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,341,"by SK,by CS","The content is really good for beginner architects, the instructors were amazing and supportive. Examples of project and their analysis is really interesting so perhaps more examples could be added,Even though it is a very short course, the skills, ideas and knowledge learnt is very useful. I can already think of different ways and new ways to approach my work, designs and daily life.","Making architecture offers a unique insight into the mind and work of an Architect, starting with the basics of the profession and culminating with the production of a scaled site model.  The course should act as ideal preparation for those interested in undertaking an undergraduate degree in Architecture, although its flexible, intriguing and enjoyable content makes it accessible for all those looking to increase their knowledge in the field.",Beginner Level,IE Business School,Arts and Humanities,Music and Art
Getting Started With Music Theory,"90,334",Bruce Taggart,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/d2/5ec930c13a11e6aec41ba8a4a22730/Taggart__Bruce_377_569_c1.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.5,239,"by WV,by FH","Course was quite tough , eventually I had given up on this course, but consistency made me learn and I went through rigorous learning in finding the chords and middle C notes. Yes I made it in the end,Excellent information but I think that this course needs more visual examples, when the instructor is talking, the presentation does not move and He give examples but they don´t follow graphically.","This course is a brief introduction to the elements of music theory for those with little or no music theory experience. We will explore pitch, rhythm, meter, notation, scales, keys, key signatures, meter signatures, triads, seventh chords, and basic harmony. If you listen to music or play music by ear, and you want to know more about how music is organized and notated, this course is for you.",Beginner Level,Michigan State University,Arts and Humanities,Music and Art
The Language of Design: Form and Meaning,"54,583",Yasmin Khan Gibson,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/31/04da59863f401898117171139a9e67/YasminTempProfilePic.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,159,"by VV,by RH","This course is perfect for freshers and if u want to recall the basics of design. The examples and explanations provided by the instructors were very lucid and insightful.,During this course i learned the language of design and my perspective to see design changed a bit. mentors also done a good job.the course is interesting and clear.","In this course, critique is defined as a detailed, objective analysis of a work of graphic design and its effectiveness. Critique is an integral part of the making process for designers: it’s not just how we determine if a work of design is or is not successful, it’s how we move our work forward. Critique is also where other voices and opinions can be brought into the design process. ",Beginner Level,California Institute of the Arts,Arts and Humanities,Music and Art
Fashion as Design,"242,752",Paola Antonelli,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/61/3775109ef511e79c9919ef7cb14e89/Paola_2017.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,609,"by SA,by MP","I would highly recommend this course for someone passionate about the industry. It's an Insightful course too deepen inside the fashion world, through history, identity, sustainability, and much more.,Excellent. I thoroughly enjoyed it and recommended it to many. I am a mature student ( 55) and after this, I really feel I want to study a masters in fashion sustainability. Thanks for inspiring me.","Among all objects of design, our clothes are the most universal and intimate. Like other kinds of design, fashion thrives on productive tensions between form and function, automation and craftsmanship, standardization and customization, universality and self-expression, and pragmatism and utopian vision. It exists in the service of others, and it can have profound consequences—social, political, cultural, economic, and environmental.",Beginner Level,The Museum of Modern Art,Arts and Humanities,Music and Art
Guitar for Beginners,"273,347",Thaddeus Hogarth,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/f7/2e5b5ebf7440788d7c7ad5400af927/PastedGraphic-1.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,616,"by SM,by DS","If you want to learn guitar no matter which guitar you want to learn acoustic or electric if you are a beginner then quickly join this course it will really help you to upgrade your skills in guitar.,Grate beginner course. Gives you an understanding of basic music theory to help understand how to solo over scales as well as basic strumming and picking. Better than any YouTube video I have tried.","Grasp the essentials needed to begin playing acoustic or electric guitar. You'll learn an easy approach to get you playing quickly, through a combination of exploring the instrument, performance technique, and basic music theory.",Approx. 24 hours to complete,Berklee College of Music,Arts and Humanities,Music and Art
The Truth About Cats and Dogs,"58,787","Miss Hayley  Walters, RVN",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/ab/adb62a40b41011e3b8bdc59659be48b7/Hayley-and-Stewart---Copy.JPG?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,555,"by HR,by JJ","I learned so much about how to decrease stress for my pets and increase their happiness. I also learned how to better communicate with them. Thank you for helping improve my pets quality of life!,I have had a variety of animal companions throughout my life, but this course has taught me that I could always benefit by staying up-to-date on the latest information related to animal welfare.","What is your cat revealing to you when she purrs? What is your dog expressing when he yawns or wags his tail? Understanding your cat and dog’s behaviour and the way they communicate with you, will enable you to better understand their needs and strengthen your relationship with them.",Approx. 16 hours to complete,The University of Edinburgh,Health,Animal Health
Science of Exercise,"276,299","Robert Mazzeo, Ph.D.",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/97/869090415a11e78d52134c45f8679d/last.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,1303,"by MB,by NT","It is a very great course. This course taught me many great things about the human body like how the body responses to exercise and nutrition. What, when, how we should do exercise and take nutrition.,Love everything about this course. Nice module. Professor is really nice. However, I need to learn further about weight training (Pros, cons , etc). Looking forward to attend in weight training class.","Learners who complete Science of Exercise will have an improved physiological understanding of how your body responds to exercise, and will be able to identify behaviors, choices, and environments that impact your health and training. You will explore a number of significant adjustments required by your body in order to properly respond to the physical stress of exercise, including changes in carbohydrate, fat and protein metabolism, nutritional considerations, causes of muscle soreness & fatigue, and the effectiveness and dangers of performance enhancing drugs. Active learning assessments will challenge you to apply this new knowledge via nutrition logs, heart rate monitoring, calculations of your total daily caloric expenditure and body mass index (BMI). Finally, learners will examine the scientific evidence for the health benefits of exercise including the prevention and treatment of heart disease, diabetes, cancer, obesity (weight loss), depression, and dementia.",Beginner Level,University of Colorado Boulder,Health,Basic Science
Big History: Connecting Knowledge,"86,981",A/Professor Iain Hay,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/d8/0edd5c44a3420499ca859d6045eb14/Iain-no-border.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,430,"by SA,by BG","I absolutely LOVED Big History! It's so interesting and insightful!! I highly recommend everyone to take this course, you will learn a lot about the world! Thank you Professor Christian and Baker!! :),Finally! A creation myth based on evidence and multiple scientific disciplines for all humans is here! The time for stories based on speculation and superstition for the chosen group is finally over.","We currently face unprecedented challenges on a global scale. These problems do not neatly fall into disciplines. They are complicated, complex, and connected. Join us on this epic journey of 13.8 billion years starting at the Big Bang and travelling through time all the way to the future. Discover the connections in our world, the power of collective learning, how our universe and our world has evolved from incredible simplicity to ever-increasing complexity. Experience our modern scientific origin story through Big History and discover the important links between past, current, and future events. You will find two different types of lectures. ‘Zooming In’ lectures from multiple specialists enable you to understand key concepts through the lens of different disciplines, whilst David Christian's ‘Big History Framework’ lectures provide the connective overview for a journey through eight thresholds of Big History.",Approx. 29 hours to complete,Macquarie University,Arts and Humanities,History
Dino 101: Dinosaur Paleobiology,"56,672","Philip John Currie, PhD",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/e5/992d260b73f80e564302465a8eb62e/phil-courserapage-600.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.9,961,"by JH,by PM","Thank you for this excellent course! I really enjoyed the short videos, the concise notes, and quick quizzes (both at the end of each lesson, as well as the main point quizzes throughout the videos).,Even as a dinosaur nerd, I still learned a lot. Instructional videos with embedded quizzes were very well constructed. I'm just a bit bummed that I couldn't access the fossil viewer for some reason.","Dino 101: Dinosaur Paleobiology is a 12-lesson course teaching a comprehensive overview of non-avian dinosaurs. Topics covered: anatomy, eating, locomotion, growth, environmental and behavioral adaptations, origins and extinction. Lessons are delivered from museums, fossil-preparation labs and dig sites. Estimated workload: 3-5 hrs/week.",Beginner Level,University of Alberta,Health,Basic Science
Introduction to Philosophy,"537,118",Dr.  Dave Ward,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/2a/f18bdd431e7f26401be24d311a22e8/Dave-Ward.jpeg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,1855,"by LT,by AG","I thoroughly enjoyed this course and find that it encouragingly sets some directions, and of course, raises my excitement for further study into some of the different fields of philosophy. Thank you.,Great explanations that is broken down with examples for understanding. Quizzes test for your understanding of the topic rather than just the textbook explanations. Challenging and thought revoking.","This course will introduce you to some of the main areas of research in contemporary philosophy. Each module a different philosopher will talk you through some of the most important questions and issues in their area of expertise. We’ll begin by trying to understand what philosophy is – what are its characteristic aims and methods, and how does it differ from other subjects? Then we’ll spend the rest of the course gaining an introductory overview of several different areas of philosophy. ",Approx. 19 hours to complete,The University of Edinburgh,Arts and Humanities,Philosophy
Animal Behaviour and Welfare,"115,127",Professor Nat Waran,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/90/3786e0fe6c11e6801f67e0e3ab63ba/Nat-and-Timmy.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,1031,"by AA,by AS","Interesting, thank you for making this course available. After taking it I transitioned from being pescetarian to vegan and I wish that more controversial animal rights concerns were more focused on.,This course was very informative and interesting! I enjoyed the lectures as well as the instructors and also loved that it focused on many different kinds animal welfare issues. Definitely recommend!","Animal welfare has been described as a complex, multi-faceted public policy issue which includes important scientific, ethical, and other dimensions. Improving our understanding of  animal welfare, involves the fascinating study of animal behavior as well as the challenge of accessing the emotions of animals. ",Approx. 10 hours to complete,The University of Edinburgh,Health,Animal Health
Bugs 101: Insect-Human Interactions,"32,960",Dr. Maya Evenden,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/5d/bee80e06884681940714b5c61f5503/Maya-Bio-Pic.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.9,448,"by JM,by AB","This course was very well composed. Each lecturer was very concise and well-spoken. I thoroughly enjoyed the lectures, the interviews and the visual materials. I would recommend this course to others.,Very interesting and specially the anchors of this course are very enthusiastic and encouraging throughout the course so my focus is maintain for bugs and surly I will search more on insects further.","Of all the animals on earth, which are the strongest for their size? What about the fastest? Who were the first animals to evolve flight? Insects take all of these titles and more! As the most abundant animals on the planet, insects and other arthropods affect our lives in so many ways. From beneficial interactions like pollination and biological pest control, to the transmission of life threatening diseases; this course will teach you about the big ways that these little arthropods impact our lives. ",Beginner Level,University of Alberta,Health,Basic Science
The Challenges of Global Health,"47,153",Dr. David Boyd,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c7/500db0edb611e3915b059daf00bf4b/boydDGHIformal.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,377,"by AN,by AI","This was a very detailed and well structured course. Dr. Boyd gave me a panoramic understanding of Global Health Challenges, the interdependence and complexity of these challenges and their solutions.,It was inspiring, educational, and informative. Dr. Boyd really added a lot of the enthusiasm and energy to the course and I really appreciate him for it. Overall, an amazing intellectual experience.",What are the world’s major health challenges?  What contributes to them?  What can we do to improve health outcomes and reduce health disparities?  ,Beginner Level,Duke University,Health,Public Health
Disease Clusters,"14,376","Dr. Megan Weil Latshaw, PhD",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/77/f0b0104dc411e6aa0643ed40f3b07e/annipic.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,,,,,"Do a lot of people in your neighborhood all seem to have the same sickness? Are people concerned about high rates of cancer? Your community may want to explore the possibility of a disease cluster, which happens when there is a higher number of cases of disease than expected.",Approx. 7 hours to complete,Johns Hopkins University,Health,Public Health
Dog Emotion and Cognition,"185,397",Brian Hare,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/76/316670f41f11e4a91045643cf7ffec/brian-hare-pic.png?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,1220,"by GA,by DE","It is a very interesting course. Does not tell you how to train your dogs but makes you understand the way dogs, human, great apes and other species think and solve problems which is very interesting.,I learned valuable information about dogs. I can better understand the thought processes of my own dogs. I really like that the lecture slides were provided after the lectures, so I could review them.","Dog Emotion and Cognition will introduce you to the exciting new study of dog psychology, what the latest discoveries tell us about how dogs think and feel about us, and how we can use this new knowledge to further strengthen our relationship with our best friends.",Approx. 22 hours to complete,Duke University,Health,Animal Health
U101: Understanding College and College Life,"12,061",Dr. Matt McGarrity,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/5b/4a381063d611e583f33303db1a9e48/1.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,119,"by CE,by ME","The information provided throughout each video was very helpful. Navigating college can feel overwhelming, but there were a lot of useful tips on how to feel more confident while succeeding in school.,Amazing course. It helps you understand college life and how college works. And gives you tips on how to get the most out of college. Definitely recommend it, specially for international students.","College can be confusing and intimidating, but U101 can help. If you were just admitted to college and are nervous about what the next step in life might look like, this course is for you. If you are the parent of a newly admitted college student and curious about what college life is like, this course is also for you. ",Approx. 11 hours to complete,University of Washington,Social Sciences,Education
How Things Work: An Introduction to Physics,"220,407",Louis A. Bloomfield,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/a3/213fe48c924c2ff1736e12c8486188/instructor-1.png.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,742,"by MS,by HR","Mind blowing.. excellent study by Prof. Bloomfield. Hatsoff to you sir. Very excellent representation of physics concepts by taking interesting examples. Good Pesonalited Professor i have ever seen .,Excellent Course for someone who seeks to learn Physics and its applications. Professor Bloomfield is Exceptional as he explains concepts with practical examples. Definitely a highly worthy course!!!",An introduction to physics in the context of everyday objects.,Intermediate Level,University of Virginia,Physical Science and Engineering,Physics and Astronomy
How to Write and Publish a Scientific Paper (Project-Centered Course),"128,723",Mathis Plapp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/6d/ec8740d19811e5b9502708c067456e/135B2365_preview_ecran.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,800,"by SM,by SR","The content was very good and explanation was excellent just there was a slight problem with instructors accent but don't worry you will get used to it no time but the course is excellent and helpful,It was really helpful to me, I hope it will be useful to all researchers who are intensively working for publishing papers in journals. I thank all course instructors who handled the video sessions.",What you will achieve:,Approx. 13 hours to complete,École Polytechnique,Social Sciences,Education
The Science of the Solar System,"59,026",Mike Brown,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/39/84efd0950711e39e581b1e2a369100/meb.png?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,239,"by CE,by PK","Learning facilitated by good lecturing, well prepared lectures and excellent quizzes. Lecturer Mike Brown, enthusiastic about his subject, generous in sharing his knowledge, humorous, and honest.,The lectures are engaging and replete with thought provoking material. Professor Brown's in depth knowledge of the field and his passion for planetary science aroused an everlasting curiosity.","Learn about the science behind the current exploration of the solar system in this free class. Use principles from physics, chemistry, biology, and geology to understand the latest from Mars, comprehend the outer solar system, ponder planets outside our solar system, and search for habitability in our neighborhood and beyond. This course is generally taught at an advanced level assuming a prior knowledge of undergraduate math and physics, but the majority of the concepts and lectures can be understood without these prerequisites. The quizzes and final exam are designed to make you think critically about the material you have learned rather than to simply make you memorize facts. The class is expected to be challenging but rewarding.",Approx. 30 hours to complete,Caltech,Physical Science and Engineering,Physics and Astronomy
Introduction to Chemistry:  Structures and Solutions,"43,281",Prof. Dorian A. Canelas,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/db/185ddb7e17eb9903628506684d6561/canelas002---square.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,106,"by S,by KV","Very nice to explain all the things and enjoying to learn with this pnline course.its my first time at online base so very happy to complete it and also get the certificate so so so happy,the course is very interesting and enjoyable I am thankful to the university for offering such a wonderful course thank you for dorian canelas for explaining in a wonderful way","This is an introductory course for students with limited background in chemistry; basic concepts such as atomic and molecular structure, solutions, phases of matter, and quantitative problem solving will be emphasized with the goal of preparing students for further study in chemistry.",Beginner Level,Duke University,Physical Science and Engineering,Chemistry
Mountains 101,"66,424",Zac Robinson,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/bc/b551e09f9211e6b1985d1fe3ac489e/Zac-Robinson-Bio-Image.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.9,835,"by LB,by SK","Entertaining and interesting subject. This course gives us a perfect overview of mountains' importance on our environment and their value to our lives as a human. Thank you for this incredible course.,So interesting! So well made, every lesson is thought out the interactive mountain map was a joy to complete each time! Incredibly thoughtful and sensitive to every aspect that touches the mountains.","Mountains 101­­ is a broad and integrated overview of the mountain world. This 12-lesson course covers an interdisciplinary field of study focusing on the physical, biological, and human dimensions of mountain places in Alberta, Canada, and around the world. Specifically, we'll study the geological origins of mountains, how they’re built-up and worn-down over time; we’ll learn about their importance for biodiversity and water cycles, globally and locally; we’ll explore their cultural significance to societies around the globe, and how that relationship has evolved over time; and we’ll learn how mountains are used, how they’re protected, and how today they’re experiencing rapid change in a warming climate. ",Approx. 18 hours to complete,University of Alberta,Physical Science and Engineering,Environmental Science and Sustainability
Chemistry,"130,800",Dr. Allison Soult,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/2c/787560797589c6bf13c26fd0fe1244/Allison-Fixed_1.JPG?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,494,"by MS,by WL","Very informative, and includes application of lessons like lab experiments. Great lecturers and lessons, but sometimes lack information for full understanding (for beginners). Would recommend!,This is a great course. The primary feature is the number of worked and practice problems. Instead of memorizing, one learns by doing. Short of being in the lab, this is the next best thing.","This course is designed to cover subjects in advanced high school chemistry courses, correlating to the standard topics as established by the American Chemical Society. This course is a precursor to the Advanced Chemistry Coursera course. Areas that are covered include atomic structure, periodic trends, compounds, reactions and stoichiometry, bonding, and thermochemistry.",Approx. 22 hours to complete,University of Kentucky,Physical Science and Engineering,Chemistry
Computer Architecture,"172,757",David Wentzlaff ,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/d9/5cc8007c4d271bf40f17b0e4ffe9d3/David-Wentzlaff.png?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,298,"by IG,by AL","Excellent course! It was really nice to have a high-level course, and I feel like this course makes a great substitute for the Computer Architecture course offered in my university.,I have a slight background in computer Architecture, taking this course allowed me to have a refreshier. Espeically being able to download the videos and do it all on my own time.","In this course, you will learn to design the computer architecture of complex modern microprocessors.",Advanced Level,Princeton University,Physical Science and Engineering,Electrical Engineering
Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,"106,793","Dr. Wayne Whiteman, PE",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/1a/22d69cbd2909e28dcb3da7c916345c/whiteman-coursera.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,675,"by RR,by FA","A very useful course for getting a strong foundation in strength of materials course. Definitely recommend to all who wants to learn it. Looking forward to future courses. Dr. Whiteman is outstanding.,A very useful course for getting a strong foundation in strength of materials course. Definitely recommend to all who wants to learn it. Looking forward to future courses. Dr. Whiteman is outstanding.","This course explores the topic of solid objects subjected to stress and strain. The methods taught in the course are used to predict the response of engineering structures to various types of loading, and to analyze the vulnerability of these structures to various failure modes. Axial loading with be the focus in this course.",Approx. 18 hours to complete,Georgia Institute of Technology,Physical Science and Engineering,Mechanical Engineering
Introduction to Chemistry:  Reactions and Ratios,"86,650",Prof. Dorian A. Canelas,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/db/185ddb7e17eb9903628506684d6561/canelas002---square.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,256,"by RG,by NH","Thank you Professor Dorian A. Canelas! It made me much more easier to understand the basic principles of chemistry and it builds me a lot of confidence in answering some of the problems in chemistry.,It is a wonderful course for Middle school students. A first course in Chemistry, for the gifted students who will do AP Chemistry. Not suitable for adult learners who need an advanced introduction.","This is an introductory course for students with limited background in chemistry; basic concepts involved in chemical reactions, stoichiometry, the periodic table, periodic trends, nomenclature, and chemical problem solving will be emphasized with the goal of preparing students for further study in chemistry as needed for many science, health, and policy professions.",Beginner Level,Duke University,Physical Science and Engineering,Chemistry
Astronomy: Exploring Time and Space,"180,381",Chris Impey,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/95/d1089054ac11e48cfb913f6cdf4d10/ChrisImpey.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,1050,"by AM,by WB","I really enjoyed working through the modules of this course. The material was interesting and enlightening. The self-paced format worked well for me and I will look for similar courses going forward.,I really enjoyed working through the modules of this course. The material was interesting and enlightening. The self-paced format worked well for me and I will look for similar courses going forward.",This course is designed for anyone who is interested in learning more about modern astronomy. We will help you get up to date on the most recent astronomical discoveries while also providing support at an introductory level for those who have no background in science.,Beginner Level,University of Arizona,Physical Science and Engineering,Physics and Astronomy
Fundamentals of Engineering Exam Review,"70,927",Dr. Philip Roberts,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/a1/64f2206a9b11e490b6f1d96d6888bc/RobertsPhilip2.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,151,"by AK,by PO","This course was a good refresher which hit a lot of topics covered on the FE exam. I supplemented this course with some reference books and the NCEES manual and I was able to pass the FE Exam.,What an excellent and remarkable experience i had during this period thanks to georgia tech university for this amazing opportunity i hope to fully having a degree at the university sometime.","The purpose of this course is to review the material covered in the Fundamentals of Engineering (FE) exam to enable the student to pass it.  It will be presented in modules corresponding to the FE topics, particularly those in Civil and Mechanical Engineering.  Each module will review main concepts, illustrate them with examples, and provide extensive practice problems.",Approx. 22 hours to complete,Georgia Institute of Technology,Physical Science and Engineering,Mechanical Engineering
Introduction to Sustainability,"119,090",Dr. Jonathan Tomkin,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/79/f8e84011cf1ddfd25815840b6e9da5/instructor-1-3.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,709,"by KF,by MT","It is a well prepared course. Contents are carefully organized and plenty of concepts and examples are included and analyzed. Overall, it is a excellent course to get an overview of sustainability.,This course helps me to learn many things about sustainability. By this course, I am more interested in sustainable developments. I expect to learn more about this provided by Dr Johnathan Tomkin.","This course introduces the academic approach of Sustainability and explores how today’s human societies can endure in the face of global change, ecosystem degradation and resource limitations. The course focuses on key knowledge areas of sustainability theory and practice, including population, ecosystems, global change, energy, agriculture, water, environmental economics and policy, ethics, and cultural history.",Approx. 25 hours to complete,University of Illinois at Urbana-Champaign,Physical Science and Engineering,Environmental Science and Sustainability
How to Apply to College,"30,905",Eric J. Furda,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/e0/8329505c0a11e789b469504ae3b566/Eric-Photo.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,52,"by JL,by HW","This course allowed me to understand the fine details of applying to college. Penn is my dream school, so I was really happy to see information specific to Penn being provided in this course.,This course help students and family members and an inquisitive learner to navigate each stage from the start of the college search process through the transition into a college environment.","How to Apply to College will empower learners of all backgrounds to demystify and better understand the college search and selection process, combining the expertise of an Ivy League admissions office and a leading college access and success organization. Led by expert educators, including Eric J. Furda, Dean of Admissions at the University of Pennsylvania, and Dr. Sean Vereen, President of Steppingstone Scholars, Inc., this free course will help students, family members, college counselors and any inquisitive learner to navigate each stage from the start of the college search process through the transition into a college environment.",Beginner Level,University of Pennsylvania,Personal Development,Personal Development
Applying to U.S. Universities,"89,833",Erick Hyde,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/4d/7e09306a6a11e3937e2f60d7630136/Erick-Hyde_0.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,108,"by RR,by FM","Really helpful for International students. Heaped me right from college selection to submission of the application ( and getting selected). Thank You so much University of Pennsylvania...,This is a great course, it helped me to understand all the application process, the points and how to choose the better fit for me. It gave all the detailed information I needed","“It depends.”  That is what you’ll hear when asking about the U.S. university admission process.  With over 4,000 universities in the United States and no standard application system, the U.S. admission process can be confusing for everyone, but especially for students applying from other countries.",Beginner Level,University of Pennsylvania,Personal Development,Personal Development
How to Get Skilled: Introduction to Individual Skills Management (Project-Centered Course),"49,648",Dr. Valeri Chukhlomin,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/65/77dae085a111e4860d3720973b7e42/Val-Chukhlomin.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,3.7,72,"by GP,by ST","The techniques taught in this course for skills management are very useful for personal and career development in this day and age. Thank you SUNY and Coursera. I have learned a lot from this course.,This is an eye opening course to objectively evaluate my skills and see if I'm ready for a promotion/new job. It's also helped me to create a career plan in improving my skills.",Do you want to gain a competitive edge on the job market?,Intermediate Level,The State University of New York,Personal Development,Personal Development
