name,enrolled,instructor,instructorImage,rating,ratingNo,reviewer,reviews,description,time,provider,catagory,subCatagory
Disease Screening in Public Health,"22,089",Antoine Flahault,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/1b/6f27301d6211e8bbf65f4523b47ecb/flahaut_120x120.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.5,87,"by PB,by SH","It is a wonderful course and it help me to improve my skill, providing the very interesting methods in disease screening and implementation. How to evaluate a screening process is also learned.,To all the course professors: "" A wonderful and big thank you for a course well taught and well completed by myself."" I have learnt alot. Samantha Henry (Rotary Ambassadorial Scholar). Guyana","Current and future public health is characterized by the increase of chronic and degenerative diseases, corresponding to the worldwide ageing of the population. The increasing prevalence of these conditions together with the long incubation period of the chronic diseases and the continual technological innovations, offer new opportunities to develop strategies for early diagnosis.",Beginner Level,University of Geneva,Health,Public Health
The Strategy of Content Marketing,"256,269",Sonia Simone,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/38/149a40acf811e69fba5f08b5517c6d/sonia-simone-300.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.5,1034,"by SM,by JC","For those who want to start your content marketing journey, you may want to take this course. It focuses on touch base points but also goes into further details on what you need as a content marketer.,For those who want to start your content marketing journey, you may want to take this course. It focuses on touch base points but also goes into further details on what you need as a content marketer.","This course is a partnership between the leading content marketing authority, Copyblogger, and UC Davis Continuing and Professional Education. In this course, you will learn the core strategies content marketers use to acquire and retain customers profitably. Specifically, you will learn how to develop, organize and implement a content marketing strategy, analyze and measure the effectiveness of content marketing, write compelling copy, use a strategic framework when writing, and build your professional brand and authority through content marketing. You will also learn how to put the ideas presented to you into action and build your own personal brand through content marketing.",Intermediate Level,"University of California, Davis",Business,Marketing
"Epidemics, Pandemics and Outbreaks","38,177",Elena A. Baylis,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/6e/bc7050808011e4ad11f37508fa08ac/baylis_elena.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,541,"by I,by MS","This course is very enlightening, and educative. The teachers break down each concept for easy assimilation. It's an important course all health related professionals need and I recommend it strongly.,It was an extremely informational and interesting course, especially in the times of COVID-19. It helped me better understand what is happening in the world today regarding to pandemics and epidemics.","What can we do to prevent outbreaks of infectious diseases from becoming epidemics or pandemic? In this course, you’ll learn the facts about infectious diseases and medical responses. We'll focus on the public health laws and policies that provide the framework for effective prevention, like quarantine laws, drug development policies, and bioterrorism and biodefense.",Approx. 13 hours to complete,University of Pittsburgh,Social Sciences,Governance and Society
Ecology: Ecosystem Dynamics and Conservation,"47,640",Ana Luz Porzecanski,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/a5/453e60078a11e8a5ab7d094c5db34b/ana.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,713,"by AJ,by YH","This was particularly in-depth on the sciences of ecology, and having it based around a particular conservation project made it easier to follow each progressive lecture and concept that was explored.,One of the best course, I have ever taken. The materials is not hard to follow and the in-depth explanation gives you a proper new perspective which is still open to debate due to conservation topic","This course is an introduction to ecology and ecosystem dynamics using a systems thinking lens. Through a case study on Mozambique's Gorongosa National Park, learners will explore how scientists study ecosystems, and investigate the complex array of factors that inform management efforts. At the end of the course, learners will be able to grapple with real-world conservation questions, such as whether an ecosystem can recover from anthropogenic disruption and what role humans can, and should, play in that recovery.",Intermediate Level,American Museum of Natural History,Health,Basic Science
Essentials of Global Health,"57,670",Richard Skolnik,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/64/fdbda06a1f11e6b8d6936e3fa413c6/DSC_2628.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,380,"by MM,by MK","It was one of the best courses I have done on coursera.Also the instructor explains detailed subject matter very well which makes it easier to understand the subject.Certainly a 10\10 for the course !,A very thoughtful and insightful course that help me to understand the global health, its key concept, challenges and cost effective strategies to address the issue in the global health perspectives.","Essentials of Global Health is a comprehensive introduction to global health. It is meant to introduce you to this topic in well-structured, clear and easy to understand ways. Much of the course will focus on five questions: What do people get sick, disabled and die from; Why do they suffer from these conditions? Which people are most affected? Why should we care about such concerns? What can be done to address key health issues, hopefully at least cost, as fast as possible, and in sustainable ways?  The course will be global in coverage but with a focus on low- and middle-income countries, the health of the poor, and health disparities. Particular attention will be paid throughout the course to health systems issues, the linkages between health and development, and health matters related to global interdependence. The course will cover key concepts and frameworks but be practical in orientation.",Approx. 70 hours to complete,Yale University,Health,Public Health
Infection Prevention in Nursing Homes,"20,749",Evelyn Cook,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/3d/0cad50aff811e6bfe0674dd4de230a/027912d_cook001_1_.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,264,"by SY,by S","Very informative course. I've already gained knowledge about infection, to prevent and control infection. So, I would like to pay my thankfulness to all the staffs participated in this course.,This is a very good course, it has explained about infection and its prevention very well, one should make an improvement in this course that study material should also be provided as PDF.",Learn about the role of environment in disease transmission and how to implement standard and transmission-based precautions to prevent the spread of antibiotic resistant bacteria and other infections in your facility.,Approx. 8 hours to complete,The University of North Carolina at Chapel Hill,Health,Public Health
Epidemiology: The Basic Science of Public Health,"171,001",Dr.  Karin Yeatts  ,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/69/f602d9ccd181d5667144eefa3399cc/karin.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.6,1023,"by N,by IA","Very clear teaching strategies from the instructors. Some quizzes though are a little bit hard on my part because of the type of questions and answers. But overall it is a great course to take with.,A very interesting course. An eye opener to what epidemiology entails. I like the course instructors, they made it simple, even though the test are tough. Its interesting from beginning to the end.","Often called “the cornerstone” of public health, epidemiology is the study of the distribution and determinants of diseases, health conditions, or events among populations and the application of that study to control health problems. By applying the concepts learned in this course to current public health problems and issues, students will  understand the practice of epidemiology as it relates to real life and makes for a better appreciation of public health programs and policies. This course explores public health issues like cardiovascular and infectious diseases – both locally and globally – through the lens of epidemiology.",Approx. 7 hours to complete,The University of North Carolina at Chapel Hill,Health,Public Health
Introductory Human Physiology,"383,008",Jennifer Carbrey,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/48/ee189ae59c374f9b37be4976491a15/Jennifer-Carbrey.jpeg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,933,"by LL,by JD","I'm a high school student interested in human physiology. This course is AMAZING! Though sometimes I felt overwhelmed and couldn't remember everything, I think it was worth every effort and energy.,Best course I've ever taken! Detailed and thorough explanations of the systems of the body. Fascinating, enlightening, and enjoyable. Highly recommend for anyone interested in how the body functions.","In this course, students learn to recognize and to apply the basic concepts that govern integrated body function (as an intact organism) in the body's nine organ systems.",Approx. 33 hours to complete,Duke University,Health,Basic Science
A Life of Happiness and Fulfillment,"425,564",Dr. Rajagopal Raghunathan,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/f3/772430c7bf11e4b83e03843ab207d3/raj-r.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,1938,"by JP,by CR","I like this course a lot. I got some clarity on things I already know. The teacher Raj is the best part of this course. I love his approach and how he interacts with students. I recommend this course!,Excellent course, Professor Raj is great. I found it very helpful to see what types of personality traits I have that may contribute to my happiness level and possible approaches to dealing with them.",What are the determinants of a happy and fulfilling life?,Approx. 28 hours to complete,Indian School of Business,Health,Psychology
Social Psychology,"458,760",Scott Plous,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/c2/9a1ffdcc8dcb69a9958d0604755ffa/Plous2006-11-26.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,1692,"by IV,by PM","Very interesting course, tons of great material. Of all the courses I have taken so far in Coursera, this is one of the few that has pushed me to focus on the material we were going over-great course.,Professor Plous made me understand the lessons because he explained well all the lessons, and he provided enough information about the Social Psychology. More power to Coursera and Professor Plous :)","Ever wonder why people do what they do? This course—which includes more than $1,000 of video and reading materials—offers some answers based on the latest research from social psychology. Students taking the course for a Certificate will also receive free membership in Social Psychology Network (SocialPsychology.org).",Beginner Level,Wesleyan University,Health,Psychology
Disaster Preparedness,"46,115",Michael Beach,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/db/bc70fc1417ecb4ef82b9b8f9565a39/Michael_Beach_03_sm.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.7,407,"by TI,by CH","Well presented introductory course by clearly experienced and knowledgeable Instructor(s). Enjoyed the content, demeanor, and tenor. Slow tempo easily attenuated by speeding up play-back speed.,Really great course that's paced well. I believe this is a course everyone should and CAN take! These things are important to know especially if you live in an area where disasters are prone.","Have you ever viewed a news report depicting the aftermath of a devastating natural disaster? The damage to human life and property are both staggering and heartbreaking. All parts of the world face the possibility of floods, hurricanes, tornados, fires, landslides, earthquakes, tsunamis, and other natural phenomena. Are you prepared if disaster would strike you? This course will help you prepare!",Beginner Level,University of Pittsburgh,Physical Science and Engineering,Environmental Science and Sustainability
Psychological First Aid,"406,257","George Everly, Jr., PhD",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/46/037ed065f311e4ba51ef6bf4811f86/georgeeverly22-232x300.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.8,3978,"by KG,by ED","A wonderful course with clear explanations and case scenarios to help reinforce learning. I was truly engaged throughout the course and felt like I learned a lot more than I anticipated when going in.,I am very happy and satisfied with the course program. In fact, I am excited to apply what I have learned and also looking forward to enroll in another course. Thank you for this learning opportunity!","Learn to provide psychological first aid to people in an emergency by employing the RAPID model: Reflective listening, Assessment of needs, Prioritization, Intervention, and Disposition.",Approx. 6 hours to complete,Johns Hopkins University,Health,Psychology
Science Matters: Let's Talk About COVID-19,"144,095",Helen Ward ,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-instructor-photos.s3.amazonaws.com/2a/ad156e5eef4a56aaa87d6482bf818c/Helen-Ward.jpg?auto=format%2Ccompress&dpr=2w=112&h=112&q=40&fit=crop,4.2,64,"by NA,by TJ","Excellent! thank you for your effort, God Bless you., I will be so grateful if you inform me when the course begins again to sing up for a certificate by taking the quizes, on free mode. Thanks.,I hope I have finished my course but still I didn’t get my certificate and notification about I have finished the course .plz I have finished all my week schedules and give my certificate","Welcome to ‘Science Matters: Let's Talk about COVID-19’, from the Abdul Latif Jameel Institute for Disease and Emergency Analytics (J-IDEA) at Imperial College London.",Beginner Level,Imperial College London,Health,Public Health
